headline,sentiment_score,stock_movement
Tata Steel downgraded by analysts,-1,0
Infosys product recall issued,-1,0
SBI signs major contract,1,1
Tata Steel profit decline expected,-1,0
Wipro stock price rallies,1,1
TCS stock tumbles,-1,0
SBI signs major contract,1,1
SBI under investigation,-1,0
HDFC receives investment upgrade,1,1
SBI strong earnings report,1,1
SBI stock price rallies,1,1
SBI under investigation,-1,0
Kotak stock tumbles,-1,0
HDFC receives investment upgrade,1,1
Kotak launches new product line,1,1
TCS under investigation,-1,0
ICICI stock price rallies,1,1
SBI product recall issued,-1,0
Kotak strong earnings report,1,1
HDFC losses due to market conditions,-1,0
Wipro stock price rallies,1,1
Kotak product recall issued,-1,0
Kotak losses due to market conditions,-1,0
HDFC receives investment upgrade,1,1
ICICI under investigation,-1,0
Infosys faces regulatory scrutiny,-1,0
Infosys under investigation,-1,0
Reliance signs major contract,1,1
HDFC under investigation,-1,0
Kotak reports record profits,1,1
Wipro downgraded by analysts,-1,0
Tata Steel under investigation,-1,0
Reliance downgraded by analysts,-1,0
Reliance reports record profits,1,1
HDFC signs major contract,1,1
Tata Steel stock price rallies,1,1
Wipro losses due to market conditions,-1,0
SBI receives investment upgrade,1,1
Infosys faces regulatory scrutiny,-1,0
Infosys signs major contract,1,1
Infosys announces stock buyback,1,1
Tata Steel stock price rallies,1,1
HDFC strong earnings report,1,1
Infosys announces stock buyback,1,1
ONGC faces regulatory scrutiny,-1,0
Infosys misses revenue targets,-1,0
SBI announces stock buyback,1,1
ONGC downgraded by analysts,-1,0
Tata Steel profit decline expected,-1,0
ONGC launches new product line,1,1
Wipro announces stock buyback,1,1
TCS misses revenue targets,-1,0
TCS profit decline expected,-1,0
HDFC stock tumbles,-1,0
Kotak beats analyst estimates,1,1
Wipro under investigation,-1,0
ONGC profit decline expected,-1,0
ONGC strong earnings report,1,1
Reliance profit decline expected,-1,0
ONGC faces regulatory scrutiny,-1,0
Wipro reports record profits,1,1
Infosys announces stock buyback,1,1
SBI receives investment upgrade,1,1
Wipro launches new product line,1,1
Reliance reports record profits,1,1
Tata Steel under investigation,-1,0
Tata Steel under investigation,-1,0
Tata Steel losses due to market conditions,-1,0
ICICI stock price rallies,1,1
Reliance announces stock buyback,1,1
TCS faces regulatory scrutiny,-1,0
Tata Steel product recall issued,-1,0
Infosys downgraded by analysts,-1,0
ONGC stock price rallies,1,1
Reliance announces stock buyback,1,1
ICICI losses due to market conditions,-1,0
Tata Steel downgraded by analysts,-1,0
Infosys beats analyst estimates,1,1
Kotak profit decline expected,-1,0
Wipro receives investment upgrade,1,1
SBI announces stock buyback,1,1
Tata Steel misses revenue targets,-1,0
TCS losses due to market conditions,-1,0
ICICI misses revenue targets,-1,0
SBI receives investment upgrade,1,1
Reliance product recall issued,-1,0
TCS product recall issued,-1,0
Tata Steel faces regulatory scrutiny,-1,0
ONGC profit decline expected,-1,0
Infosys reports record profits,1,1
Reliance reports record profits,1,1
Infosys signs major contract,1,1
Infosys receives investment upgrade,1,1
Kotak receives investment upgrade,1,1
Tata Steel announces stock buyback,1,1
Infosys announces stock buyback,1,1
ICICI product recall issued,-1,0
Kotak losses due to market conditions,-1,0
Kotak under investigation,-1,0
Reliance stock tumbles,-1,0
Reliance losses due to market conditions,-1,0
ONGC profit decline expected,-1,0
TCS losses due to market conditions,-1,0
Reliance strong earnings report,1,1
Reliance product recall issued,-1,0
HDFC strong earnings report,1,1
ICICI stock tumbles,-1,0
Wipro misses revenue targets,-1,0
Reliance profit decline expected,-1,0
Tata Steel reports record profits,1,1
ONGC beats analyst estimates,1,1
ICICI faces regulatory scrutiny,-1,0
Reliance receives investment upgrade,1,1
Kotak profit decline expected,-1,0
Tata Steel profit decline expected,-1,0
TCS losses due to market conditions,-1,0
ONGC signs major contract,1,1
Wipro beats analyst estimates,1,1
Reliance faces regulatory scrutiny,-1,0
Infosys under investigation,-1,0
SBI strong earnings report,1,1
Reliance faces regulatory scrutiny,-1,0
TCS launches new product line,1,1
ICICI losses due to market conditions,-1,0
ICICI under investigation,-1,0
Reliance beats analyst estimates,1,1
Kotak announces stock buyback,1,1
Kotak losses due to market conditions,-1,0
ONGC receives investment upgrade,1,1
Infosys launches new product line,1,1
Tata Steel losses due to market conditions,-1,0
Infosys profit decline expected,-1,0
Reliance reports record profits,1,1
ICICI losses due to market conditions,-1,0
Tata Steel strong earnings report,1,1
HDFC downgraded by analysts,-1,0
ICICI profit decline expected,-1,0
TCS misses revenue targets,-1,0
Wipro receives investment upgrade,1,1
Wipro losses due to market conditions,-1,0
Reliance strong earnings report,1,1
Infosys downgraded by analysts,-1,0
Reliance signs major contract,1,1
TCS stock tumbles,-1,0
Infosys faces regulatory scrutiny,-1,0
HDFC signs major contract,1,1
Tata Steel receives investment upgrade,1,1
HDFC stock tumbles,-1,0
HDFC stock tumbles,-1,0
ONGC beats analyst estimates,1,1
Wipro downgraded by analysts,-1,0
HDFC losses due to market conditions,-1,0
ICICI profit decline expected,-1,0
Infosys faces regulatory scrutiny,-1,0
Reliance stock tumbles,-1,0
Tata Steel announces stock buyback,1,1
Infosys strong earnings report,1,1
Wipro signs major contract,1,1
SBI launches new product line,1,1
Kotak reports record profits,1,1
TCS strong earnings report,1,1
ICICI beats analyst estimates,1,1
Reliance launches new product line,1,1
Tata Steel launches new product line,1,1
TCS launches new product line,1,1
Tata Steel under investigation,-1,0
Tata Steel signs major contract,1,1
Tata Steel downgraded by analysts,-1,0
ICICI launches new product line,1,1
Reliance beats analyst estimates,1,1
Kotak downgraded by analysts,-1,0
SBI reports record profits,1,1
TCS losses due to market conditions,-1,0
SBI receives investment upgrade,1,1
ICICI misses revenue targets,-1,0
HDFC product recall issued,-1,0
Kotak product recall issued,-1,0
Tata Steel beats analyst estimates,1,1
TCS losses due to market conditions,-1,0
SBI product recall issued,-1,0
Wipro downgraded by analysts,-1,0
Tata Steel under investigation,-1,0
Kotak profit decline expected,-1,0
Kotak stock price rallies,1,1
Kotak reports record profits,1,1
SBI launches new product line,1,1
Wipro stock tumbles,-1,0
ONGC losses due to market conditions,-1,0
Kotak under investigation,-1,0
Reliance reports record profits,1,1
HDFC under investigation,-1,0
ONGC signs major contract,1,1
Wipro announces stock buyback,1,1
Wipro signs major contract,1,1
ONGC downgraded by analysts,-1,0
Wipro announces stock buyback,1,1
ICICI receives investment upgrade,1,1
ICICI stock tumbles,-1,0
Reliance strong earnings report,1,1
TCS profit decline expected,-1,0
